rank,antecedent,consequent,support_pct,confidence_pct,lift
116,"long life bakery product","whole milk",1.3523,36.14,1.4144
117,"berries","whole milk",1.1795,35.47,1.3883
118,"frankfurter","whole milk",2.0539,34.83,1.363
119,"newspapers","whole milk",2.7351,34.27,1.3411
120,"chocolate","whole milk",1.6675,33.61,1.3152
121,"waffles","whole milk",1.271,33.07,1.2942
122,"coffee","whole milk",1.8709,32.22,1.2611
123,"sausage","whole milk",2.9893,31.82,1.2453
124,"bottled water","whole milk",3.4367,31.09,1.2169
125,"rolls/buns","whole milk",5.6634,30.79,1.205
