5 #SUP: 2971
48 #SUP: 3013
56 #SUP: 3021
66 #SUP: 3021
34 #SUP: 3040
62 #SUP: 3060
7 #SUP: 3076
36 #SUP: 3099
60 #SUP: 3149
40 #SUP: 3170
29 #SUP: 3181
52 #SUP: 3185
58 #SUP: 3195
52 58 #SUP: 3184
29 52 #SUP: 3170
29 58 #SUP: 3180
29 40 #SUP: 3155
40 52 #SUP: 3159
40 58 #SUP: 3169
40 60 #SUP: 3124
29 60 #SUP: 3136
52 60 #SUP: 3138
58 60 #SUP: 3148
36 60 #SUP: 3052
36 40 #SUP: 3073
29 36 #SUP: 3084
36 52 #SUP: 3088
36 58 #SUP: 3098
7 36 #SUP: 2979
7 60 #SUP: 3031
7 40 #SUP: 3050
7 29 #SUP: 3069
7 52 #SUP: 3065
7 58 #SUP: 3075
7 62 #SUP: 2940
36 62 #SUP: 2963
60 62 #SUP: 3014
40 62 #SUP: 3045
29 62 #SUP: 3045
52 62 #SUP: 3049
58 62 #SUP: 3060
34 62 #SUP: 2913
7 34 #SUP: 2930
34 36 #SUP: 2943
34 60 #SUP: 2995
34 40 #SUP: 3017
29 34 #SUP: 3036
34 52 #SUP: 3031
34 58 #SUP: 3039
34 66 #SUP: 2886
62 66 #SUP: 2892
7 66 #SUP: 2906
36 66 #SUP: 2924
60 66 #SUP: 3021
40 66 #SUP: 2997
29 66 #SUP: 3013
52 66 #SUP: 3010
58 66 #SUP: 3020
34 56 #SUP: 2884
56 62 #SUP: 2923
7 56 #SUP: 2919
36 56 #SUP: 2924
56 60 #SUP: 2974
40 56 #SUP: 2996
29 56 #SUP: 3006
52 56 #SUP: 3016
56 58 #SUP: 3020
48 62 #SUP: 2877
7 48 #SUP: 2893
36 48 #SUP: 2987
48 60 #SUP: 2986
40 48 #SUP: 2987
29 48 #SUP: 2998
48 52 #SUP: 3002
48 58 #SUP: 3012
5 34 #SUP: 2889
5 60 #SUP: 2924
5 40 #SUP: 2950
5 29 #SUP: 2964
5 52 #SUP: 2960
5 58 #SUP: 2970
60 62 66 #SUP: 2892
40 62 66 #SUP: 2877
29 62 66 #SUP: 2884
52 62 66 #SUP: 2881
58 62 66 #SUP: 2892
34 60 66 #SUP: 2886
29 34 66 #SUP: 2882
34 52 66 #SUP: 2877
34 58 66 #SUP: 2885
34 52 58 #SUP: 3030
29 34 52 #SUP: 3027
29 34 58 #SUP: 3035
29 34 40 #SUP: 3013
34 40 52 #SUP: 3008
34 40 58 #SUP: 3016
34 40 60 #SUP: 2973
29 34 60 #SUP: 2991
34 52 60 #SUP: 2986
34 58 60 #SUP: 2994
34 36 60 #SUP: 2898
34 36 40 #SUP: 2920
29 34 36 #SUP: 2939
34 36 52 #SUP: 2934
34 36 58 #SUP: 2942
7 34 60 #SUP: 2885
7 34 40 #SUP: 2907
7 29 34 #SUP: 2928
7 34 52 #SUP: 2921
7 34 58 #SUP: 2929
34 40 62 #SUP: 2901
29 34 62 #SUP: 2909
34 52 62 #SUP: 2904
34 58 62 #SUP: 2913
52 58 62 #SUP: 3049
29 52 62 #SUP: 3034
29 58 62 #SUP: 3045
29 40 62 #SUP: 3030
40 52 62 #SUP: 3034
40 58 62 #SUP: 3045
40 60 62 #SUP: 2999
29 60 62 #SUP: 3001
52 60 62 #SUP: 3003
58 60 62 #SUP: 3014
36 60 62 #SUP: 2917
36 40 62 #SUP: 2948
29 36 62 #SUP: 2948
36 52 62 #SUP: 2952
36 58 62 #SUP: 2963
7 60 62 #SUP: 2896
7 40 62 #SUP: 2925
7 29 62 #SUP: 2933
7 52 62 #SUP: 2929
7 58 62 #SUP: 2940
7 52 58 #SUP: 3064
7 29 52 #SUP: 3058
7 29 58 #SUP: 3068
7 29 40 #SUP: 3043
7 40 52 #SUP: 3039
7 40 58 #SUP: 3049
7 40 60 #SUP: 3006
7 29 60 #SUP: 3024
7 52 60 #SUP: 3020
7 58 60 #SUP: 3030
7 36 60 #SUP: 2934
7 36 40 #SUP: 2953
7 29 36 #SUP: 2972
7 36 52 #SUP: 2968
7 36 58 #SUP: 2978
36 52 58 #SUP: 3087
29 36 52 #SUP: 3073
29 36 58 #SUP: 3083
29 36 40 #SUP: 3058
36 40 52 #SUP: 3062
36 40 58 #SUP: 3072
36 40 60 #SUP: 3027
29 36 60 #SUP: 3039
36 52 60 #SUP: 3041
36 58 60 #SUP: 3051
52 58 60 #SUP: 3137
29 52 60 #SUP: 3125
29 58 60 #SUP: 3135
29 40 60 #SUP: 3111
40 52 60 #SUP: 3113
40 58 60 #SUP: 3123
40 52 58 #SUP: 3158
29 40 52 #SUP: 3144
29 40 58 #SUP: 3154
29 52 58 #SUP: 3169
29 40 52 58 #SUP: 3143
40 52 58 60 #SUP: 3112
29 40 52 60 #SUP: 3100
29 40 58 60 #SUP: 3110
29 52 58 60 #SUP: 3124
36 52 58 60 #SUP: 3040
29 36 52 60 #SUP: 3028
29 36 58 60 #SUP: 3038
29 36 40 60 #SUP: 3014
36 40 52 60 #SUP: 3016
36 40 58 60 #SUP: 3026
36 40 52 58 #SUP: 3061
29 36 40 52 #SUP: 3047
29 36 40 58 #SUP: 3057
29 36 52 58 #SUP: 3072
7 36 52 58 #SUP: 2967
7 29 36 52 #SUP: 2961
7 29 36 58 #SUP: 2971
7 29 36 40 #SUP: 2946
7 36 40 52 #SUP: 2942
7 36 40 58 #SUP: 2952
7 36 40 60 #SUP: 2909
7 29 36 60 #SUP: 2927
7 36 52 60 #SUP: 2923
7 36 58 60 #SUP: 2933
7 52 58 60 #SUP: 3019
7 29 52 60 #SUP: 3013
7 29 58 60 #SUP: 3023
7 29 40 60 #SUP: 2999
7 40 52 60 #SUP: 2995
7 40 58 60 #SUP: 3005
7 40 52 58 #SUP: 3038
7 29 40 52 #SUP: 3032
7 29 40 58 #SUP: 3042
7 29 52 58 #SUP: 3057
7 52 58 62 #SUP: 2929
7 29 52 62 #SUP: 2922
7 29 58 62 #SUP: 2933
7 29 40 62 #SUP: 2918
7 40 52 62 #SUP: 2914
7 40 58 62 #SUP: 2925
7 40 60 62 #SUP: 2881
7 29 60 62 #SUP: 2889
7 52 60 62 #SUP: 2885
7 58 60 62 #SUP: 2896
36 52 58 62 #SUP: 2952
29 36 52 62 #SUP: 2937
29 36 58 62 #SUP: 2948
29 36 40 62 #SUP: 2933
36 40 52 62 #SUP: 2937
36 40 58 62 #SUP: 2948
36 40 60 62 #SUP: 2902
29 36 60 62 #SUP: 2904
36 52 60 62 #SUP: 2906
36 58 60 62 #SUP: 2917
52 58 60 62 #SUP: 3003
29 52 60 62 #SUP: 2990
29 58 60 62 #SUP: 3001
29 40 60 62 #SUP: 2986
40 52 60 62 #SUP: 2988
40 58 60 62 #SUP: 2999
40 52 58 62 #SUP: 3034
29 40 52 62 #SUP: 3019
29 40 58 62 #SUP: 3030
29 52 58 62 #SUP: 3034
34 52 58 62 #SUP: 2904
29 34 52 62 #SUP: 2900
29 34 58 62 #SUP: 2909
29 34 40 62 #SUP: 2897
34 40 52 62 #SUP: 2892
34 40 58 62 #SUP: 2901
7 34 52 58 #SUP: 2920
7 29 34 52 #SUP: 2919
7 29 34 58 #SUP: 2927
7 29 34 40 #SUP: 2905
7 34 40 52 #SUP: 2898
7 34 40 58 #SUP: 2906
7 29 34 60 #SUP: 2883
7 34 58 60 #SUP: 2884
34 36 52 58 #SUP: 2933
29 34 36 52 #SUP: 2930
29 34 36 58 #SUP: 2938
29 34 36 40 #SUP: 2916
34 36 40 52 #SUP: 2911
34 36 40 58 #SUP: 2919
29 34 36 60 #SUP: 2894
34 36 52 60 #SUP: 2889
34 36 58 60 #SUP: 2897
34 52 58 60 #SUP: 2985
29 34 52 60 #SUP: 2982
29 34 58 60 #SUP: 2990
29 34 40 60 #SUP: 2969
34 40 52 60 #SUP: 2964
34 40 58 60 #SUP: 2972
34 40 52 58 #SUP: 3007
29 34 40 52 #SUP: 3004
29 34 40 58 #SUP: 3012
29 34 52 58 #SUP: 3026
29 34 58 66 #SUP: 2881
29 34 60 66 #SUP: 2882
34 52 60 66 #SUP: 2877
34 58 60 66 #SUP: 2885
52 58 62 66 #SUP: 2881
29 58 62 66 #SUP: 2884
40 58 62 66 #SUP: 2877
40 60 62 66 #SUP: 2877
29 60 62 66 #SUP: 2884
52 60 62 66 #SUP: 2881
58 60 62 66 #SUP: 2892
7 52 58 66 #SUP: 2894
7 29 52 66 #SUP: 2891
7 29 58 66 #SUP: 2901
7 29 40 66 #SUP: 2878
7 40 58 66 #SUP: 2881
7 40 60 66 #SUP: 2882
7 29 60 66 #SUP: 2902
7 52 60 66 #SUP: 2895
7 58 60 66 #SUP: 2905
36 52 58 66 #SUP: 2912
29 36 52 66 #SUP: 2905
29 36 58 66 #SUP: 2915
29 36 40 66 #SUP: 2892
36 40 52 66 #SUP: 2889
36 40 58 66 #SUP: 2899
36 40 60 66 #SUP: 2900
29 36 60 66 #SUP: 2916
36 52 60 66 #SUP: 2913
36 58 60 66 #SUP: 2923
52 58 60 66 #SUP: 3009
29 52 60 66 #SUP: 3002
29 58 60 66 #SUP: 3012
29 40 60 66 #SUP: 2989
40 52 60 66 #SUP: 2986
40 58 60 66 #SUP: 2996
40 52 58 66 #SUP: 2985
29 40 52 66 #SUP: 2978
29 40 58 66 #SUP: 2988
29 52 58 66 #SUP: 3001
34 52 56 58 #SUP: 2878
29 34 56 58 #SUP: 2879
52 56 58 62 #SUP: 2918
29 52 56 62 #SUP: 2903
29 56 58 62 #SUP: 2908
29 40 56 62 #SUP: 2894
40 52 56 62 #SUP: 2904
40 56 58 62 #SUP: 2909
56 58 60 62 #SUP: 2877
7 52 56 58 #SUP: 2913
7 29 52 56 #SUP: 2907
7 29 56 58 #SUP: 2911
7 29 40 56 #SUP: 2887
7 40 52 56 #SUP: 2889
7 40 56 58 #SUP: 2893
36 52 56 58 #SUP: 2918
29 36 52 56 #SUP: 2904
29 36 56 58 #SUP: 2908
29 36 40 56 #SUP: 2884
36 40 52 56 #SUP: 2894
36 40 56 58 #SUP: 2898
52 56 58 60 #SUP: 2968
29 52 56 60 #SUP: 2956
29 56 58 60 #SUP: 2960
29 40 56 60 #SUP: 2937
40 52 56 60 #SUP: 2945
40 56 58 60 #SUP: 2949
40 52 56 58 #SUP: 2990
29 40 52 56 #SUP: 2976
29 40 56 58 #SUP: 2980
29 52 56 58 #SUP: 3000
7 48 52 58 #SUP: 2881
7 29 48 58 #SUP: 2885
36 48 52 58 #SUP: 2975
29 36 48 52 #SUP: 2961
29 36 48 58 #SUP: 2971
29 36 40 48 #SUP: 2946
36 40 48 52 #SUP: 2950
36 40 48 58 #SUP: 2960
36 40 48 60 #SUP: 2935
29 36 48 60 #SUP: 2947
36 48 52 60 #SUP: 2949
36 48 58 60 #SUP: 2959
48 52 58 60 #SUP: 2974
29 48 52 60 #SUP: 2962
29 48 58 60 #SUP: 2972
29 40 48 60 #SUP: 2948
40 48 52 60 #SUP: 2950
40 48 58 60 #SUP: 2960
40 48 52 58 #SUP: 2975
29 40 48 52 #SUP: 2961
29 40 48 58 #SUP: 2971
29 48 52 58 #SUP: 2986
5 34 52 58 #SUP: 2879
5 29 34 58 #SUP: 2884
5 52 58 60 #SUP: 2912
5 29 52 60 #SUP: 2908
5 29 58 60 #SUP: 2918
5 29 40 60 #SUP: 2899
5 40 52 60 #SUP: 2893
5 40 58 60 #SUP: 2903
5 40 52 58 #SUP: 2938
5 29 40 52 #SUP: 2932
5 29 40 58 #SUP: 2942
5 29 52 58 #SUP: 2952
5 29 40 52 58 #SUP: 2931
5 40 52 58 60 #SUP: 2892
5 29 40 52 60 #SUP: 2888
5 29 40 58 60 #SUP: 2898
5 29 52 58 60 #SUP: 2907
29 40 48 52 58 #SUP: 2960
40 48 52 58 60 #SUP: 2949
29 40 48 52 60 #SUP: 2937
29 40 48 58 60 #SUP: 2947
29 48 52 58 60 #SUP: 2961
36 48 52 58 60 #SUP: 2948
29 36 48 52 60 #SUP: 2936
29 36 48 58 60 #SUP: 2946
29 36 40 48 60 #SUP: 2922
36 40 48 52 60 #SUP: 2924
36 40 48 58 60 #SUP: 2934
36 40 48 52 58 #SUP: 2949
29 36 40 48 52 #SUP: 2935
29 36 40 48 58 #SUP: 2945
29 36 48 52 58 #SUP: 2960
29 40 52 56 58 #SUP: 2975
40 52 56 58 60 #SUP: 2944
29 40 52 56 60 #SUP: 2932
29 40 56 58 60 #SUP: 2936
29 52 56 58 60 #SUP: 2955
36 40 52 56 58 #SUP: 2893
29 36 40 52 56 #SUP: 2879
29 36 40 56 58 #SUP: 2883
29 36 52 56 58 #SUP: 2903
7 40 52 56 58 #SUP: 2888
7 29 40 52 56 #SUP: 2882
7 29 40 56 58 #SUP: 2886
7 29 52 56 58 #SUP: 2906
40 52 56 58 62 #SUP: 2904
29 40 52 56 62 #SUP: 2889
29 40 56 58 62 #SUP: 2894
29 52 56 58 62 #SUP: 2903
29 40 52 58 66 #SUP: 2977
40 52 58 60 66 #SUP: 2985
29 40 52 60 66 #SUP: 2978
29 40 58 60 66 #SUP: 2988
29 52 58 60 66 #SUP: 3001
36 52 58 60 66 #SUP: 2912
29 36 52 60 66 #SUP: 2905
29 36 58 60 66 #SUP: 2915
29 36 40 60 66 #SUP: 2892
36 40 52 60 66 #SUP: 2889
36 40 58 60 66 #SUP: 2899
36 40 52 58 66 #SUP: 2888
29 36 40 52 66 #SUP: 2881
29 36 40 58 66 #SUP: 2891
29 36 52 58 66 #SUP: 2904
7 52 58 60 66 #SUP: 2894
7 29 52 60 66 #SUP: 2891
7 29 58 60 66 #SUP: 2901
7 29 40 60 66 #SUP: 2878
7 40 58 60 66 #SUP: 2881
7 29 40 58 66 #SUP: 2877
7 29 52 58 66 #SUP: 2890
52 58 60 62 66 #SUP: 2881
29 58 60 62 66 #SUP: 2884
40 58 60 62 66 #SUP: 2877
29 34 58 60 66 #SUP: 2881
29 34 40 52 58 #SUP: 3003
34 40 52 58 60 #SUP: 2963
29 34 40 52 60 #SUP: 2960
29 34 40 58 60 #SUP: 2968
29 34 52 58 60 #SUP: 2981
34 36 52 58 60 #SUP: 2888
29 34 36 52 60 #SUP: 2885
29 34 36 58 60 #SUP: 2893
34 36 40 52 58 #SUP: 2910
29 34 36 40 52 #SUP: 2907
29 34 36 40 58 #SUP: 2915
29 34 36 52 58 #SUP: 2929
7 29 34 58 60 #SUP: 2882
7 34 40 52 58 #SUP: 2897
7 29 34 40 52 #SUP: 2896
7 29 34 40 58 #SUP: 2904
7 29 34 52 58 #SUP: 2918
34 40 52 58 62 #SUP: 2892
29 34 40 52 62 #SUP: 2888
29 34 40 58 62 #SUP: 2897
29 34 52 58 62 #SUP: 2900
29 40 52 58 62 #SUP: 3019
40 52 58 60 62 #SUP: 2988
29 40 52 60 62 #SUP: 2975
29 40 58 60 62 #SUP: 2986
29 52 58 60 62 #SUP: 2990
36 52 58 60 62 #SUP: 2906
29 36 52 60 62 #SUP: 2893
29 36 58 60 62 #SUP: 2904
29 36 40 60 62 #SUP: 2889
36 40 52 60 62 #SUP: 2891
36 40 58 60 62 #SUP: 2902
36 40 52 58 62 #SUP: 2937
29 36 40 52 62 #SUP: 2922
29 36 40 58 62 #SUP: 2933
29 36 52 58 62 #SUP: 2937
7 52 58 60 62 #SUP: 2885
7 29 52 60 62 #SUP: 2878
7 29 58 60 62 #SUP: 2889
7 40 58 60 62 #SUP: 2881
7 40 52 58 62 #SUP: 2914
7 29 40 52 62 #SUP: 2907
7 29 40 58 62 #SUP: 2918
7 29 52 58 62 #SUP: 2922
7 29 40 52 58 #SUP: 3031
7 40 52 58 60 #SUP: 2994
7 29 40 52 60 #SUP: 2988
7 29 40 58 60 #SUP: 2998
7 29 52 58 60 #SUP: 3012
7 36 52 58 60 #SUP: 2922
7 29 36 52 60 #SUP: 2916
7 29 36 58 60 #SUP: 2926
7 29 36 40 60 #SUP: 2902
7 36 40 52 60 #SUP: 2898
7 36 40 58 60 #SUP: 2908
7 36 40 52 58 #SUP: 2941
7 29 36 40 52 #SUP: 2935
7 29 36 40 58 #SUP: 2945
7 29 36 52 58 #SUP: 2960
29 36 40 52 58 #SUP: 3046
36 40 52 58 60 #SUP: 3015
29 36 40 52 60 #SUP: 3003
29 36 40 58 60 #SUP: 3013
29 36 52 58 60 #SUP: 3027
29 40 52 58 60 #SUP: 3099
29 36 40 52 58 60 #SUP: 3002
7 29 36 40 52 58 #SUP: 2934
7 36 40 52 58 60 #SUP: 2897
7 29 36 40 52 60 #SUP: 2891
7 29 36 40 58 60 #SUP: 2901
7 29 36 52 58 60 #SUP: 2915
7 29 40 52 58 60 #SUP: 2987
7 29 40 52 58 62 #SUP: 2907
7 29 52 58 60 62 #SUP: 2878
29 36 40 52 58 62 #SUP: 2922
36 40 52 58 60 62 #SUP: 2891
29 36 40 52 60 62 #SUP: 2878
29 36 40 58 60 62 #SUP: 2889
29 36 52 58 60 62 #SUP: 2893
29 40 52 58 60 62 #SUP: 2975
29 34 40 52 58 62 #SUP: 2888
7 29 34 40 52 58 #SUP: 2895
29 34 36 40 52 58 #SUP: 2906
29 34 36 52 58 60 #SUP: 2884
29 34 40 52 58 60 #SUP: 2959
7 29 40 58 60 66 #SUP: 2877
7 29 52 58 60 66 #SUP: 2890
29 36 40 52 58 66 #SUP: 2880
36 40 52 58 60 66 #SUP: 2888
29 36 40 52 60 66 #SUP: 2881
29 36 40 58 60 66 #SUP: 2891
29 36 52 58 60 66 #SUP: 2904
29 40 52 58 60 66 #SUP: 2977
29 40 52 56 58 62 #SUP: 2889
7 29 40 52 56 58 #SUP: 2881
29 36 40 52 56 58 #SUP: 2878
29 40 52 56 58 60 #SUP: 2931
29 36 40 48 52 58 #SUP: 2934
36 40 48 52 58 60 #SUP: 2923
29 36 40 48 52 60 #SUP: 2911
29 36 40 48 58 60 #SUP: 2921
29 36 48 52 58 60 #SUP: 2935
29 40 48 52 58 60 #SUP: 2936
5 29 40 52 58 60 #SUP: 2887
29 36 40 48 52 58 60 #SUP: 2910
29 36 40 52 58 60 66 #SUP: 2880
29 36 40 52 58 60 62 #SUP: 2878
7 29 36 40 52 58 60 #SUP: 2890
